big one,,,,,
seed,numCentres,camionsxCentre,Km totals,Beneficis,executionTime
1234,10,1,0,94988,0.622891618
1234,5,2,0,92412,0.485859723
1234,2,5,0,85560,0.402172378
1234,1,10,0,83424,0.35887299
137,10,1,0,92276,0.609389761
137,5,2,0,84276,0.487727487
137,2,5,0,89280,0.438299511
137,1,10,0,71040,0.329951141
90404,10,1,0,94976,0.646913509
90404,5,2,0,92312,0.437730358
90404,2,5,0,86836,0.447309939
90404,1,10,0,70100,0.32716999
83295,10,1,0,95016,0.651225017
83295,5,2,0,94948,0.46506394
83295,2,5,0,85020,0.436395545
83295,1,10,0,79384,0.409114045
36235,10,1,0,95472,0.70784869
36235,5,2,0,92012,0.539577436
36235,2,5,0,89876,0.453534763
36235,1,10,0,84868,0.430230935
96388,10,1,0,94616,0.669222935
96388,5,2,0,95376,0.463958193
96388,2,5,0,91720,0.41220895
96388,1,10,0,78408,0.408198972
47774,10,1,0,87592,0.629937108
47774,5,2,0,87912,0.429818926
47774,2,5,0,88396,0.448012379
47774,1,10,0,68208,0.331112422
70319,10,1,0,94176,0.678704222
70319,5,2,0,93072,0.489236953
70319,2,5,0,85308,0.407419462
70319,1,10,0,69372,0.380503888
46978,10,1,0,94492,0.644168221
46978,5,2,0,93548,0.465428477
46978,2,5,0,85976,0.395907397
46978,1,10,0,79940,0.386522322
9670,10,1,0,95872,0.626315568
9670,5,2,0,93560,0.422637816
9670,2,5,0,89824,0.399327776
9670,1,10,0,82828,0.378973947
83789,10,1,0,94884,0.686455418
83789,5,2,0,93504,0.54526025
83789,2,5,0,83496,0.475696616
83789,1,10,0,83920,0.429305205
,,,,,
,,,,,
,,,,,
default seed,,,,,
seed,numCentres,camionsxCentre,Km totals,Beneficis,executionTime
1234,10,1,0,94988,0.622891618
1234,5,2,0,92412,0.485859723
1234,2,5,0,85560,0.402172378
1234,1,10,0,83424,0.35887299
