Seed,numCentres,camionsxCentre,Cost,Beneficis,executionTime
1234,10,1,1071,97318,0.399119626
1234,5,2,2049,95302,0.427555193
1234,2,5,2947,93466,0.407791737
1234,1,10,3198,93024,0.395191878
137,10,1,1725,96290,0.682989911
137,5,2,2387,92746,0.467523116
137,2,5,2009,95702,0.463380038
137,1,10,3842,89816,0.387231315
90404,10,1,1738,96624,0.424534969
90404,5,2,1638,96604,0.395940105
90404,2,5,1593,96694,0.396552318
90404,1,10,3362,93176,0.40015786
83295,10,1,1036,98328,0.408420729
83295,5,2,1079,98142,0.413038066
83295,2,5,1761,96838,0.410940286
83295,1,10,3361,93538,0.398123592
36235,10,1,1127,98186,0.414323167
36235,5,2,1437,97526,0.408433265
36235,2,5,1633,97114,0.456038369
36235,1,10,2631,95078,0.415790979
96388,10,1,1218,97944,0.423016112
96388,5,2,1265,97830,0.431582127
96388,2,5,1869,96622,0.428442189
96388,1,10,4169,89822,0.418344931
47774,10,1,1832,96276,0.414610565
47774,5,2,1749,96442,0.432485337
47774,2,5,1650,96480,0.398502415
47774,1,10,3652,92336,0.399686726
70319,10,1,978,98204,0.41822568
70319,5,2,986,98028,0.399864553
70319,2,5,2748,94284,0.403660803
70319,1,10,4176,91428,0.412443909
46978,10,1,1278,97384,0.429060646
46978,5,2,1334,97052,0.453619126
46978,2,5,1614,96112,0.426025316
46978,1,10,2574,94052,0.412276372
9670,10,1,1200,97860,0.392753544
9670,5,2,2034,94152,0.391693375
9670,2,5,2004,96192,0.564623414
9670,1,10,2587,95146,0.484994656
83789,10,1,951,98138,0.436634281
83789,5,2,1430,97060,0.431125599
83789,2,5,2552,94616,0.439317978
83789,1,10,2716,94408,0.409070461
