hores,beneficis,executionTime
0,5040,0.14707712
1,5040,0.048905786
2,40904,0.259758441
3,72588,0.405476396
4,90304,0.538085252
5,94988,0.481827776
6,94988,0.45246599
7,94988,0.428364758
8,94988,0.43877531
9,94988,0.441355101
10,94988,0.435926884
11,94988,0.433339564
12,94988,0.441108007
13,94988,0.440414387
14,94988,0.437318246
15,94988,0.426550367
16,94988,0.426056558
17,94988,0.443464858
18,94988,0.442922348
19,94988,0.432730635
20,94988,0.43502893
21,94988,0.425788689
22,94988,0.428912032
23,94988,0.421640168
24,94988,0.445280176
